Contract_ID,Collection_Period,Domain_Type,Deployment_Gas,Owner_Gas,User_Gas,Admin_Gas,Mean_Gas,Vulnerability_Count,Vulnerability_Score,Fairness_Variance,Loop_Gas_Share,Storage_Gas_Share,Runtime_ms,Anomaly_Flag
C_2025_00030,Nov-2025,Wallet,112787.55,51409.45,84280.32,53991.91,63227.23,0,0.0,0.236,0.379,0.554,65.61,0
C_2025_00031,Nov-2025,DeFi,103172.55,52858.44,104029.8,48217.47,68368.57,0,0.0,0.37,0.391,0.586,46.99,0
C_2025_00032,Nov-2025,DeFi,153405.7,51028.41,75550.99,58639.61,61739.67,0,0.0,0.166,0.353,0.603,69.73,0
C_2025_00033,Nov-2025,Marketplace,126361.23,56630.13,139797.57,62662.38,86363.36,2,0.4,0.438,0.372,0.558,41.39,0
C_2025_00034,Nov-2025,Marketplace,100738.17,63290.41,90206.73,60921.76,71472.97,1,0.2,0.186,0.386,0.616,55.4,0
C_2025_00035,Nov-2025,NFT,217443.12,58259.72,101691.18,58206.85,72719.25,2,0.4,0.282,0.356,0.555,42.24,0
C_2025_00036,Nov-2025,Marketplace,115325.83,56197.07,102077.82,52776.56,70350.49,2,0.4,0.32,0.372,0.59,73.87,0
C_2025_00037,Nov-2025,DeFi,123399.33,51045.92,86114.29,58720.37,65293.53,3,0.6,0.231,0.354,0.614,41.46,0
C_2025_00038,Nov-2025,NFT,187943.25,51008.76,99371.0,53827.91,68069.22,2,0.4,0.326,0.397,0.589,92.87,0
C_2025_00039,Nov-2025,Marketplace,104162.81,51660.79,83415.03,63953.48,66343.1,0,0.0,0.197,0.391,0.578,46.5,0
C_2025_00040,Nov-2025,DeFi,144280.17,61620.4,144235.71,73576.51,93144.21,2,0.4,0.391,0.388,0.631,94.48,0
C_2025_00041,Nov-2025,DeFi,103184.93,40235.44,88893.64,41696.85,56941.97,4,0.8,0.397,0.355,0.64,67.79,0
C_2025_00042,Nov-2025,DeFi,122152.18,57593.14,136160.57,60799.97,84851.23,0,0.0,0.428,0.395,0.559,57.56,0
C_2025_00043,Nov-2025,NFT,213246.35,58521.82,104343.18,59533.33,74132.77,1,0.2,0.288,0.388,0.629,83.43,0
C_2025_00044,Nov-2025,NFT,174755.06,42821.97,54590.57,47952.53,48455.02,2,0.4,0.099,0.356,0.564,81.88,0
C_2025_00045,Nov-2025,DAO,100133.36,51949.5,68019.5,61320.55,60429.85,0,0.0,0.109,0.391,0.621,44.47,0
C_2025_00046,Nov-2025,Token,53415.33,38740.29,87422.87,49544.93,58569.36,3,0.6,0.356,0.389,0.606,63.33,0
C_2025_00047,Nov-2025,Token,62581.41,49963.5,90396.9,46092.39,62150.93,0,0.0,0.322,0.356,0.615,81.03,0
C_2025_00048,Nov-2025,NFT,184853.73,50710.98,85566.25,51435.38,62570.87,1,0.2,0.26,0.398,0.551,93.34,0
C_2025_00049,Nov-2025,NFT,179481.85,50100.74,64927.33,56190.07,57072.71,3,0.6,0.107,0.373,0.613,72.14,0
C_2025_00050,Nov-2025,DeFi,128336.02,57810.47,115977.77,58443.64,77410.63,0,0.0,0.352,0.373,0.585,72.1,0
C_2025_00051,Nov-2025,DeFi,101309.4,52899.81,119444.26,62098.69,78147.59,0,0.0,0.377,0.396,0.632,92.24,0
C_2025_00052,Nov-2025,NFT,189839.26,61813.27,107784.78,78693.94,82764.0,1,0.2,0.229,0.351,0.588,84.58,0
C_2025_00053,Nov-2025,Wallet,89442.39,60830.98,149698.27,75238.65,95255.97,2,0.4,0.409,0.364,0.556,87.56,0
C_2025_00054,Nov-2025,DAO,110062.92,50375.84,110810.92,64375.61,75187.46,1,0.2,0.344,0.373,0.563,92.47,0
C_2025_00055,Nov-2025,Healthcare,93576.92,54283.93,112542.04,62277.31,76367.76,1,0.2,0.338,0.384,0.602,82.48,0
C_2025_00056,Nov-2025,Marketplace,124151.57,50540.15,96909.67,56826.09,68091.97,2,0.4,0.302,0.351,0.626,74.12,0
C_2025_00057,Nov-2025,NFT,155701.53,55488.41,76423.24,50262.39,60724.68,1,0.2,0.186,0.37,0.594,89.73,0
C_2025_00058,Nov-2025,Wallet,112401.61,32633.07,72404.6,34545.93,46527.87,3,0.6,0.394,0.396,0.599,54.2,0
C_2025_00059,Nov-2025,DeFi,135760.98,49738.44,91538.8,51305.23,64194.16,1,0.2,0.301,0.354,0.563,47.04,0
C_2025_00060,Nov-2025,DAO,96784.98,53901.39,88903.19,67846.5,70217.03,2,0.4,0.205,0.36,0.554,49.29,0
C_2025_00061,Nov-2025,Token,58476.01,45527.8,59883.32,43171.93,49527.68,1,0.2,0.149,0.368,0.6,77.97,0
C_2025_00062,Nov-2025,DeFi,119504.12,51711.84,120780.87,65588.66,79360.46,0,0.0,0.376,0.364,0.631,81.15,0
C_2025_00063,Nov-2025,DeFi,122042.48,45393.45,76334.26,49651.78,57126.5,2,0.4,0.24,0.387,0.554,53.88,0
C_2025_00064,Nov-2025,Token,69612.46,52490.0,97903.34,58413.26,69602.2,0,0.0,0.29,0.372,0.603,53.34,0
C_2025_00065,Nov-2025,Token,58949.19,38621.97,47354.11,39735.51,41903.86,0,0.0,0.093,0.366,0.562,88.98,0
C_2025_00066,Nov-2025,Marketplace,130245.7,57053.12,126995.83,62722.88,82257.27,0,0.0,0.386,0.377,0.609,81.0,0
C_2025_00067,Nov-2025,DeFi,114441.31,48477.29,76056.44,50670.06,58401.26,2,0.4,0.214,0.399,0.611,53.05,0
C_2025_00068,Nov-2025,NFT,161987.15,46103.0,66505.28,46750.19,53119.49,0,0.0,0.178,0.395,0.558,68.85,0
C_2025_00069,Nov-2025,Token,67163.65,49598.1,189367.48222810883,52531.44,56290.41,6,0.6,0.21641377748759258,0.359,0.617,91.12,1
C_2025_00070,Nov-2025,DeFi,160649.81,62956.9,98462.88,76039.16,79152.98,0,0.0,0.185,0.366,0.593,67.92,0
C_2025_00071,Nov-2025,Marketplace,104496.57,47546.27,94798.04,48280.96,63541.76,1,0.2,0.348,0.374,0.603,42.85,0
C_2025_00072,Nov-2025,DeFi,117093.8,46923.56,60174.18,60812.18,55969.97,2,0.4,0.114,0.384,0.626,72.76,0
C_2025_00073,Nov-2025,Wallet,80340.27,43624.84,217157.52020955592,55482.58,57080.78,7,0.4,0.3129036307813877,0.387,0.644,49.97,1
C_2025_00074,Nov-2025,NFT,176731.8,48754.58,274648.29706267273,60296.33,67989.02,5,0.0,0.549712813786081,0.39,0.57,49.0,1
C_2025_00075,Nov-2025,Token,68155.62,46632.12,96283.98,51725.57,64880.56,2,0.4,0.344,0.391,0.594,60.73,0
C_2025_00076,Nov-2025,Marketplace,87550.5,47187.89,102487.01,51958.03,67210.98,1,0.2,0.372,0.369,0.604,89.86,0
C_2025_00077,Nov-2025,Token,57921.47,52295.53,126648.36,60196.51,79713.47,1,0.2,0.418,0.39,0.612,69.34,0
C_2025_00078,Nov-2025,Energy,112182.4,51985.76,72633.33,53269.23,59296.11,1,0.2,0.159,0.352,0.607,81.94,0
C_2025_00079,Nov-2025,Energy,105829.68,56633.11,128423.19,53475.97,79510.76,1,0.2,0.435,0.37,0.63,48.25,0
C_2025_00080,Nov-2025,NFT,190139.77,42622.68,91044.06,49291.38,60986.04,2,0.4,0.351,0.367,0.568,89.96,0
C_2025_00081,Nov-2025,DeFi,103319.2,61968.35,111580.69,79252.15,84267.07,0,0.0,0.244,0.379,0.601,73.63,0
C_2025_00082,Nov-2025,Wallet,111312.74,55806.13,117507.96,70817.97,81377.36,1,0.2,0.323,0.379,0.611,63.33,0
C_2025_00083,Nov-2025,DeFi,132758.25,50800.76,122086.38,54881.88,75923.01,0,0.0,0.431,0.399,0.634,46.86,0
C_2025_00084,Nov-2025,Token,85309.53,54191.62,93139.33,49959.51,65763.49,2,0.4,0.296,0.367,0.59,69.56,0
C_2025_00085,Nov-2025,Token,63160.96,55025.12,90848.63,65755.05,70542.93,1,0.2,0.213,0.373,0.564,49.7,0
C_2025_00086,Nov-2025,Token,43424.91,49565.64,118427.17,51793.99,73262.27,2,0.4,0.436,0.383,0.568,92.86,0
C_2025_00087,Nov-2025,Wallet,106773.34,41147.79,53942.89,53440.68,49510.45,2,0.4,0.12,0.387,0.571,89.39,0
C_2025_00088,Nov-2025,Token,60410.7,45625.13,56918.01,49677.86,50740.33,1,0.2,0.092,0.389,0.595,68.84,0
C_2025_00089,Nov-2025,DeFi,98824.35,40074.88,77245.63,38555.89,51958.8,0,0.0,0.344,0.393,0.645,60.53,0
C_2025_00090,Nov-2025,Energy,119998.69,39387.69,68194.05,35848.88,47810.21,0,0.0,0.303,0.386,0.616,41.49,0
C_2025_00091,Nov-2025,DAO,101546.36,44173.48,91591.97,40104.4,58623.28,0,0.0,0.399,0.39,0.568,75.9,0
C_2025_00092,Nov-2025,Wallet,105791.82,48166.27,183786.1474586017,57265.21,59485.84,7,0.6,0.34340254900377054,0.36,0.579,89.3,1
C_2025_00093,Nov-2025,DeFi,134892.0,39991.09,69898.51,50271.55,53387.05,2,0.4,0.232,0.369,0.609,54.74,0
C_2025_00094,Nov-2025,Token,54756.57,64038.35,122803.87,68806.05,85216.09,2,0.4,0.313,0.357,0.637,66.81,0
C_2025_00095,Nov-2025,Wallet,111370.73,51202.41,89746.44,46542.37,62497.07,1,0.2,0.31,0.382,0.576,47.66,0
C_2025_00096,Nov-2025,NFT,149231.05,50806.54,78953.34,46099.63,58619.84,1,0.2,0.247,0.379,0.577,70.48,0
C_2025_00097,Nov-2025,DeFi,145437.33,53780.78,78968.88,48639.25,60462.97,0,0.0,0.219,0.395,0.637,72.86,0
C_2025_00098,Nov-2025,Healthcare,129985.69,58114.96,82987.16,73559.87,71554.0,1,0.2,0.143,0.376,0.555,49.15,0
C_2025_00099,Nov-2025,Healthcare,105823.84,51588.47,102356.56,51492.49,68479.17,1,0.2,0.35,0.368,0.622,56.34,0
C_2025_00100,Nov-2025,Wallet,98607.21,71059.06,146578.67,90581.25,102739.66,1,0.2,0.312,0.352,0.576,72.73,0
C_2025_00101,Nov-2025,DeFi,129919.95,44729.85,88381.52,46237.14,59782.83,1,0.2,0.338,0.354,0.623,67.25,0
C_2025_00102,Nov-2025,DeFi,120595.49,64499.59,98060.18,79182.33,80580.7,2,0.4,0.17,0.38,0.586,45.04,0
C_2025_00103,Nov-2025,DeFi,128883.5,54965.38,79187.12,61383.16,65178.55,5,1.0,0.157,0.362,0.599,52.17,0
C_2025_00104,Nov-2025,NFT,191369.69,51070.78,63538.68,60210.82,58273.43,4,0.8,0.09,0.393,0.634,57.55,0
C_2025_00105,Nov-2025,Energy,93138.08,54008.27,73275.01,50269.88,59184.39,2,0.4,0.17,0.353,0.582,69.67,0
C_2025_00106,Nov-2025,Wallet,102192.98,58348.37,117493.7,73191.67,83011.25,1,0.2,0.303,0.351,0.637,41.17,0
C_2025_00107,Nov-2025,NFT,176645.68,58523.84,141673.82,71370.6,90522.75,3,0.6,0.404,0.374,0.613,88.05,0
C_2025_00108,Nov-2025,DeFi,104772.7,35931.21,77570.34,35769.91,49757.15,0,0.0,0.395,0.368,0.579,56.3,0
C_2025_00109,Nov-2025,Energy,86795.86,40340.83,84051.8,39828.57,54740.4,2,0.4,0.379,0.371,0.638,91.96,0
C_2025_00110,Nov-2025,DeFi,164645.84,44688.82,63330.51,57937.61,55318.98,1,0.2,0.142,0.382,0.611,68.2,0
C_2025_00111,Nov-2025,Token,59898.08,45752.02,68016.43,44588.79,52785.75,2,0.4,0.204,0.398,0.638,91.03,0
C_2025_00112,Nov-2025,DeFi,151307.56,45434.03,95630.76,43687.47,61584.09,1,0.2,0.391,0.361,0.604,72.61,0
C_2025_00113,Nov-2025,Wallet,99918.68,51317.58,120119.02,51637.81,74358.14,0,0.0,0.435,0.394,0.646,87.42,0
C_2025_00114,Nov-2025,Token,69347.99,58668.88,112416.29,54843.36,75309.51,1,0.2,0.349,0.363,0.622,67.27,0
C_2025_00115,Nov-2025,Token,60859.11,51790.3,119457.91,56868.79,76039.0,3,0.6,0.405,0.384,0.607,54.69,0
C_2025_00116,Nov-2025,DeFi,133600.34,52444.43,107825.1,65043.3,75104.28,5,1.0,0.316,0.388,0.566,88.45,0
C_2025_00117,Nov-2025,DAO,107994.58,51173.71,83702.51,61275.57,65383.93,0,0.0,0.208,0.391,0.633,67.91,0
C_2025_00118,Nov-2025,DAO,112293.19,50371.49,101818.8,50569.02,67586.44,3,0.6,0.358,0.388,0.604,92.96,0
C_2025_00119,Nov-2025,DeFi,148134.73,38468.05,323057.5169782345,36198.58,55812.52,5,0.4,0.7197683574679581,0.365,0.621,43.7,1
C_2025_00120,Nov-2025,Marketplace,88280.49,57720.12,115855.26,53004.2,75526.53,4,0.8,0.378,0.388,0.552,41.22,0
C_2025_00121,Nov-2025,DeFi,128034.42,33718.08,74231.35,39562.03,49170.49,1,0.2,0.364,0.4,0.593,64.83,0
C_2025_00122,Nov-2025,DeFi,136600.22,45983.57,96647.66,45445.92,62692.38,0,0.0,0.383,0.384,0.615,55.03,0
C_2025_00123,Nov-2025,Marketplace,117802.41,49206.59,85897.27,56853.81,63985.89,1,0.2,0.247,0.399,0.591,89.18,0
C_2025_00124,Nov-2025,NFT,160782.56,44647.03,175951.8913128216,51820.32,50616.95,7,0.4,0.16694986306507362,0.398,0.569,87.77,1
C_2025_00125,Nov-2025,Marketplace,118492.59,55780.32,128195.35,67182.35,83719.34,1,0.2,0.38,0.352,0.642,73.92,0
C_2025_00126,Nov-2025,NFT,173205.29,61520.94,83207.11,58449.46,67725.84,2,0.4,0.163,0.375,0.556,72.01,0
C_2025_00127,Nov-2025,DeFi,142609.65,44779.01,71801.82,48454.83,55011.89,0,0.0,0.218,0.354,0.589,66.4,0
C_2025_00128,Nov-2025,Marketplace,90993.17,56083.32,117969.94,69770.39,81274.55,1,0.2,0.327,0.374,0.56,53.31,0
C_2025_00129,Nov-2025,NFT,223040.53,49819.18,105278.1,55989.75,70362.34,0,0.0,0.353,0.366,0.602,44.83,0
C_2025_00130,Nov-2025,Token,62846.51,49310.89,64210.28,52208.86,55243.34,0,0.0,0.117,0.378,0.619,84.03,0
C_2025_00131,Nov-2025,DeFi,122598.06,46440.13,62041.15,53618.48,54033.25,1,0.2,0.118,0.397,0.555,69.77,0
C_2025_00132,Nov-2025,DAO,118378.68,53147.88,113115.33,64877.15,77046.79,2,0.4,0.337,0.395,0.605,84.95,0
C_2025_00133,Nov-2025,Token,81602.09,44486.5,83826.95,53056.19,60456.55,0,0.0,0.279,0.353,0.575,48.77,0
C_2025_00134,Nov-2025,Energy,106155.83,53393.33,131808.09,55249.19,80150.2,0,0.0,0.456,0.389,0.616,67.4,0
C_2025_00135,Nov-2025,DeFi,155913.15,53490.59,80074.94,69459.33,67674.95,2,0.4,0.161,0.384,0.557,41.69,0
C_2025_00136,Nov-2025,Token,62940.99,36651.33,85351.93,43646.88,55216.71,2,0.4,0.389,0.369,0.649,42.21,0
C_2025_00137,Nov-2025,Marketplace,112693.42,58376.79,103338.59,69474.39,77063.26,3,0.6,0.248,0.364,0.609,90.18,0
C_2025_00138,Nov-2025,Token,69262.88,39969.53,80779.56,47693.46,56147.52,0,0.0,0.315,0.386,0.641,49.88,0
C_2025_00139,Nov-2025,Marketplace,113885.6,47668.08,87707.42,47615.28,60996.93,2,0.4,0.31,0.368,0.609,48.99,0
C_2025_00140,Nov-2025,DAO,114491.36,49305.24,75711.82,57326.94,60781.33,2,0.4,0.182,0.398,0.595,52.98,0
C_2025_00141,Nov-2025,Wallet,84858.11,52033.39,118508.57,55798.27,75446.74,1,0.2,0.404,0.385,0.567,49.22,0
C_2025_00142,Nov-2025,Token,62426.92,66613.98,153040.4,81420.14,100358.18,2,0.4,0.376,0.356,0.577,43.14,0
C_2025_00143,Nov-2025,Token,70821.04,50415.57,63077.27,47836.51,53776.45,2,0.4,0.124,0.375,0.554,48.16,0
C_2025_00144,Nov-2025,DAO,120995.93,52771.91,94523.03,58378.31,68557.75,2,0.4,0.27,0.351,0.581,78.76,0
C_2025_00145,Nov-2025,Marketplace,117353.29,41572.68,102305.6,38976.89,60951.72,3,0.6,0.48,0.385,0.634,91.95,0
C_2025_00146,Nov-2025,DeFi,129536.69,66027.26,411195.2051974479,82373.1,93555.42,4,0.2,0.552242163488248,0.397,0.619,77.21,1
C_2025_00147,Nov-2025,DeFi,139580.95,40855.96,69946.37,47413.06,52738.47,0,0.0,0.236,0.383,0.65,42.65,0
C_2025_00148,Nov-2025,Token,64486.89,52630.1,122732.31,63837.9,79733.44,3,0.6,0.386,0.366,0.617,84.43,0
C_2025_00149,Nov-2025,NFT,189429.33,55083.18,97291.12,67594.42,73322.9,0,0.0,0.241,0.377,0.551,57.85,0
C_2025_00150,Nov-2025,Energy,94663.73,36850.07,77536.51,38892.42,51093.0,1,0.2,0.366,0.369,0.573,44.03,0
C_2025_00151,Nov-2025,Token,78136.12,58078.54,116467.06,63038.31,79194.64,2,0.4,0.334,0.374,0.553,58.77,0
C_2025_00152,Nov-2025,NFT,147208.55,36836.81,71987.38,41015.62,49946.6,5,1.0,0.314,0.36,0.551,75.61,0
C_2025_00153,Nov-2025,NFT,169946.29,53136.68,127801.41,49103.97,76680.68,2,0.4,0.472,0.374,0.576,55.67,0
C_2025_00154,Nov-2025,NFT,194418.01,45060.43,85655.8,46165.45,58960.56,2,0.4,0.32,0.371,0.562,49.96,0
C_2025_00155,Nov-2025,NFT,155616.01,54408.3,102435.18,64398.67,73747.38,0,0.0,0.281,0.378,0.576,92.96,0
C_2025_00156,Nov-2025,DeFi,150961.22,49398.85,94613.34,45316.77,63109.65,5,1.0,0.354,0.361,0.611,62.61,0
C_2025_00157,Nov-2025,DeFi,111342.05,44456.76,98457.63,44897.88,62604.09,3,0.6,0.405,0.381,0.595,72.26,0
C_2025_00158,Nov-2025,Token,69194.9,44120.72,102432.25,43533.73,63362.23,0,0.0,0.436,0.351,0.614,73.39,0
C_2025_00159,Nov-2025,DAO,91556.62,52142.01,89067.82,59326.69,66845.51,2,0.4,0.239,0.385,0.59,63.55,0
C_2025_00160,Nov-2025,NFT,194527.68,58832.39,146412.22,55970.65,87071.76,0,0.0,0.482,0.386,0.608,55.08,0
C_2025_00161,Nov-2025,Token,56193.77,44309.61,73620.21,41109.11,53012.97,1,0.2,0.276,0.39,0.573,69.7,0
C_2025_00162,Nov-2025,NFT,181617.6,56668.23,107264.19,58353.18,74095.2,1,0.2,0.317,0.4,0.616,70.68,0
C_2025_00163,Nov-2025,Token,62916.01,63814.67,81566.96,71786.32,72389.32,1,0.2,0.1,0.385,0.57,69.47,0
C_2025_00164,Nov-2025,DeFi,128331.61,42768.74,93364.68,44437.94,60190.46,3,0.6,0.39,0.37,0.565,94.59,0
C_2025_00165,Nov-2025,DeFi,131094.95,56240.63,129052.17,62336.16,82542.99,1,0.2,0.4,0.388,0.563,85.43,0
C_2025_00166,Nov-2025,Marketplace,118497.3,57653.62,71894.55,58878.84,62809.0,1,0.2,0.103,0.354,0.644,70.46,0
C_2025_00167,Nov-2025,DAO,99822.82,37191.85,66252.19,42407.55,48617.19,4,0.8,0.26,0.36,0.643,46.4,0
C_2025_00168,Nov-2025,Healthcare,104736.95,59330.42,138914.27,73998.25,90747.65,2,0.4,0.381,0.354,0.59,49.54,0
C_2025_00169,Nov-2025,Marketplace,97561.09,60504.55,149342.97,69966.78,93271.43,1,0.2,0.427,0.393,0.642,66.79,0
C_2025_00170,Nov-2025,DeFi,150853.11,54462.48,77733.77,59964.63,64053.63,1,0.2,0.155,0.368,0.557,41.42,0
C_2025_00171,Nov-2025,Token,69062.06,50431.91,277109.3831883498,51678.91,63661.44,4,0.2,0.42288111492888264,0.355,0.614,51.88,1
C_2025_00172,Nov-2025,DAO,128369.01,59750.09,83508.66,55241.34,66166.7,2,0.4,0.187,0.4,0.556,78.23,0
C_2025_00173,Nov-2025,Token,60092.78,47580.24,99909.46,44007.76,63832.49,4,0.8,0.4,0.381,0.603,63.43,0
C_2025_00174,Nov-2025,DeFi,109496.82,48201.88,80886.95,51366.42,60151.75,3,0.6,0.245,0.371,0.598,41.06,0
C_2025_00175,Nov-2025,NFT,192262.0,43628.48,60130.63,48607.54,50788.88,0,0.0,0.136,0.351,0.574,93.67,0
C_2025_00176,Nov-2025,NFT,155117.88,49752.49,314563.58854100783,53819.8,66238.78,5,0.2,0.5602770634502058,0.374,0.565,57.86,1
C_2025_00177,Nov-2025,DeFi,127405.81,63693.67,107556.62,67374.56,79541.61,5,1.0,0.25,0.384,0.594,54.01,0
C_2025_00178,Nov-2025,DeFi,128674.86,57370.8,116368.74,66764.78,80168.11,3,0.6,0.323,0.376,0.565,80.56,0
C_2025_00179,Nov-2025,Token,81107.1,51092.28,64078.65,47715.94,54295.63,1,0.2,0.13,0.354,0.551,92.61,0
C_2025_00180,Nov-2025,Token,58580.06,60390.49,95748.9,62798.94,72979.44,2,0.4,0.221,0.359,0.56,76.32,0
C_2025_00181,Nov-2025,Marketplace,100619.45,57036.74,228615.81794100627,53207.79,60080.55,5,0.4,0.2296146346743785,0.381,0.588,51.31,1
C_2025_00182,Nov-2025,DeFi,134217.69,42595.03,94008.26,49306.38,61969.89,1,0.2,0.368,0.398,0.63,56.11,0
C_2025_00183,Nov-2025,DAO,110684.16,52148.74,102062.87,62538.29,72249.97,2,0.4,0.298,0.367,0.643,52.35,0
C_2025_00184,Nov-2025,Token,56641.53,34269.15,60698.42,39244.2,44737.26,2,0.4,0.256,0.36,0.639,75.52,0
C_2025_00185,Nov-2025,Energy,120325.68,45335.38,105168.15,56152.66,68885.4,2,0.4,0.378,0.373,0.634,80.07,0
C_2025_00186,Nov-2025,DAO,117954.58,59387.79,84963.58,66396.19,70249.19,2,0.4,0.154,0.358,0.563,79.93,0
C_2025_00187,Nov-2025,DeFi,122070.75,54690.91,101594.3,67613.35,74632.85,3,0.6,0.265,0.365,0.607,77.89,0
C_2025_00188,Nov-2025,DeFi,134929.78,57201.83,125241.0,55144.2,79195.68,1,0.2,0.411,0.362,0.623,94.55,0
C_2025_00189,Nov-2025,DeFi,126864.65,43195.84,96762.66,42401.65,60786.71,3,0.6,0.419,0.368,0.628,70.48,0
C_2025_00190,Nov-2025,Token,53401.15,41149.53,57344.12,42064.77,46852.81,3,0.6,0.159,0.386,0.639,72.62,0
C_2025_00191,Nov-2025,Token,53653.07,35913.53,75572.97,32368.41,47951.64,1,0.2,0.408,0.39,0.559,72.35,0
C_2025_00192,Nov-2025,Energy,136571.02,47631.86,61174.06,53918.96,54241.63,2,0.4,0.102,0.384,0.63,54.84,0
C_2025_00193,Nov-2025,DeFi,129894.36,60499.27,78659.68,55866.26,65008.4,2,0.4,0.151,0.389,0.602,64.21,0
C_2025_00194,Nov-2025,DeFi,123523.06,42911.66,75705.83,40141.29,52919.59,0,0.0,0.305,0.38,0.624,94.91,0
C_2025_00195,Nov-2025,Marketplace,112278.17,54614.06,95444.77,63050.35,71036.39,1,0.2,0.248,0.37,0.634,61.11,0
C_2025_00196,Nov-2025,NFT,212691.73,62345.95,89766.89,65144.92,72419.25,1,0.2,0.17,0.351,0.633,55.02,0
C_2025_00197,Nov-2025,DAO,87248.42,51362.39,124445.06,51553.39,75786.94,3,0.6,0.454,0.39,0.596,66.56,0
C_2025_00198,Nov-2025,DeFi,129587.28,64178.01,322586.8507213006,76487.57,84708.76,5,0.2,0.4422747628067619,0.381,0.564,81.33,1
C_2025_00199,Nov-2025,DeFi,135302.24,50972.04,193224.59811203662,47038.11,54582.0,6,0.2,0.2915355108858521,0.362,0.641,53.73,1
